"ID","date","temperature_exterieure","humidite","ensoleillement","vitesse_vent","direction_vent","temperature_interieure","puissance_cvac","puissance_cvac_future"
0,"2022-01-01 00:00:00",3.25,82.0,0.0,6.4,210.0,21.0517950221834,0.874276936286417,"1.37769327424343"
1,"2022-01-01 00:15:00",1.5,83.0,0.0,4.6,220.0,20.9999629306418,0.879457695295869,"1.38822323802964"
2,"2022-01-01 00:30:00",-0.25,84.0,0.0,2.8,230.0,21.0001071967557,0.946028399050826,"1.43538119124427"
3,"2022-01-01 00:45:00",-2.0,85.0,0.0,1.0,240.0,21.0000707742748,1.06748881668827,"1.47795172385858"
4,"2022-01-01 01:00:00",-1.95,85.0,0.0,1.0,242.5,21.0000837845794,1.12748082240582,"1.48378707175543"
5,"2022-01-01 01:15:00",-1.9,85.0,0.0,1.0,245.0,21.0000602815072,1.1732354908294,"1.51019143066654"
6,"2022-01-01 01:30:00",-1.85,85.0,0.0,1.0,247.5,21.0000173616874,1.2122876310262,"1.54390922818832"
7,"2022-01-01 01:45:00",-1.8,85.0,0.0,1.0,250.0,21.0001111467798,1.24250295355668,"1.57949810098099"
8,"2022-01-01 02:00:00",-1.85,86.75,0.0,1.275,245.0,21.0000789518425,1.28761348057582,"1.53658203043562"
9,"2022-01-01 02:15:00",-1.9,88.5,0.0,1.55,240.0,21.000151808849,1.33529089986275,"2.54924957305372"
10,"2022-01-01 02:30:00",-1.95,90.25,0.0,1.825,235.0,20.9999932654558,1.37818666151589,"2.51651126997835"
11,"2022-01-01 02:45:00",-2.0,92.0,0.0,2.1,230.0,21.0000111238035,1.47775187729729,"2.48834100400754"
12,"2022-01-01 03:00:00",-1.75,90.25,0.0,1.95,230.0,21.0000543778624,1.46098992075798,"2.52129882231782"
13,"2022-01-01 03:15:00",-1.5,88.5,0.0,1.8,230.0,21.0000520900251,1.41817551148374,"2.5250119760656"
14,"2022-01-01 03:30:00",-1.25,86.75,0.0,1.65,230.0,20.999987142012,1.38043963363445,"2.46819465331538"
15,"2022-01-01 03:45:00",-1.0,85.0,0.0,1.5,230.0,20.999971025515,1.37329639540598,"2.37944172626077"
16,"2022-01-01 04:00:00",-1.0,85.0,0.0,1.65,230.0,20.9999066488564,1.37769327424343,"2.41988661191899"
17,"2022-01-01 04:15:00",-1.0,85.0,0.0,1.8,230.0,20.9999864056608,1.38822323802964,"2.31972199989711"
18,"2022-01-01 04:30:00",-1.0,85.0,0.0,1.95,230.0,21.0000014485864,1.43538119124427,"2.08910112485096"
19,"2022-01-01 04:45:00",-1.0,85.0,0.0,2.1,230.0,21.0000275727359,1.47795172385858,"1.36407734103351"
20,"2022-01-01 05:00:00",-1.0,85.0,0.0,2.225,230.0,21.0000231107416,1.48378707175543,"1.40518558654852"
21,"2022-01-01 05:15:00",-1.0,85.0,0.0,2.35,230.0,21.0000573630553,1.51019143066654,"1.46290961274611"
22,"2022-01-01 05:30:00",-1.0,85.0,0.0,2.475,230.0,21.0000759077632,1.54390922818832,"1.55314837043722"
23,"2022-01-01 05:45:00",-1.0,85.0,0.0,2.6,230.0,21.0001012421516,1.57949810098099,"1.64747727295444"
24,"2022-01-01 06:00:00",-1.0,85.0,0.0,2.475,235.0,21.0001739537425,1.53658203043562,"2.56957506289088"
25,"2022-01-01 06:15:00",-1.0,85.0,0.0,2.35,240.0,21.0003163343611,2.54924957305372,"2.43468928828433"
26,"2022-01-01 06:30:00",-1.0,85.0,0.0,2.225,245.0,21.0006855218304,2.51651126997835,"2.35613694739049"
27,"2022-01-01 06:45:00",-1.0,85.0,0.0,2.1,250.0,21.000709501565,2.48834100400754,"2.31703194592159"
28,"2022-01-01 07:00:00",-1.1,84.5,0.0,2.1,247.5,21.0010599479589,2.52129882231782,"2.26466871047039"
29,"2022-01-01 07:15:00",-1.2,84.0,0.0,2.1,245.0,21.0011515967901,2.5250119760656,"2.20362160991614"
30,"2022-01-01 07:30:00",-1.3,83.5,29.25,2.1,242.5,21.001152435149,2.46819465331538,"2.09056593295723"
31,"2022-01-01 07:45:00",-1.4,83.0,58.5,2.1,240.0,21.0010838963348,2.37944172626077,"1.26141357259123"
32,"2022-01-01 08:00:00",-1.3,81.75,87.75,2.225,232.5,21.0009718686438,2.41988661191899,"1.26603787319775"
33,"2022-01-01 08:15:00",-1.2,80.5,117.0,2.35,225.0,21.0010192229127,2.31972199989711,"1.26832897063756"
34,"2022-01-01 08:30:00",-1.1,79.25,111.25,2.475,217.5,21.0009587940934,2.08910112485096,"1.25793917109605"
35,"2022-01-01 08:45:00",-1.0,78.0,105.5,2.6,210.0,21.0011414501806,1.36407734103351,"1.24041158810205"
36,"2022-01-01 09:00:00",-1.0,79.75,99.75,2.975,202.5,21.0001016534069,1.40518558654852,"1.21019612752969"
37,"2022-01-01 09:15:00",-1.0,81.5,94.0,3.35,195.0,21.0000111361736,1.46290961274611,"1.176796694967"
38,"2022-01-01 09:30:00",-1.0,83.25,94.0,3.725,187.5,21.0000435194109,1.55314837043722,"1.15158177862526"
39,"2022-01-01 09:45:00",-1.0,85.0,94.0,4.1,180.0,21.0001279349646,1.64747727295444,"1.77147344670603"
40,"2022-01-01 10:00:00",-1.0,86.75,94.0,3.725,175.0,21.0002769160051,2.56957506289088,"1.71470037926459"
41,"2022-01-01 10:15:00",-1.0,88.5,94.0,3.35,170.0,21.0006786475744,2.43468928828433,"1.65605050667984"
42,"2022-01-01 10:30:00",-1.0,90.25,70.5,2.975,165.0,21.000614663083,2.35613694739049,"1.5809338381968"
43,"2022-01-01 10:45:00",-1.0,92.0,47.0,2.6,160.0,21.0005879634009,2.31703194592159,"1.50025080670762"
44,"2022-01-01 11:00:00",-0.75,90.25,23.5,2.475,150.0,21.0008433631995,2.26466871047039,"1.19122117023079"
45,"2022-01-01 11:15:00",-0.5,88.5,0.0,2.35,140.0,21.0008454407422,2.20362160991614,"0.924784760926104"
46,"2022-01-01 11:30:00",-0.25,86.75,0.0,2.225,130.0,21.0005175029906,2.09056593295723,"0.92682532565349"
47,"2022-01-01 11:45:00",0.0,85.0,0.0,2.1,120.0,21.0001018616543,1.26141357259123,"0.958546066704676"
48,"2022-01-01 12:00:00",0.0,85.0,0.0,2.225,112.5,20.9996413323274,1.26603787319775,"0.946486610896509"
49,"2022-01-01 12:15:00",0.0,85.0,0.0,2.35,105.0,21.0000138720807,1.26832897063756,"0.97425125256211"
50,"2022-01-01 12:30:00",0.0,85.0,14.75,2.475,97.5,20.9996991378757,1.25793917109605,"0.966247917324275"
51,"2022-01-01 12:45:00",0.0,85.0,29.5,2.6,90.0,21.0001220880742,1.24041158810205,"0.946446107090695"
52,"2022-01-01 13:00:00",0.05,85.25,44.25,2.725,92.5,20.9998645380153,1.21019612752969,"0.905688562317454"
53,"2022-01-01 13:15:00",0.1,85.5,59.0,2.85,95.0,20.9998036377515,1.176796694967,"1.33256352201875"
54,"2022-01-01 13:30:00",0.15,85.75,82.25,2.975,97.5,20.9998494027615,1.15158177862526,"1.32228456972355"
55,"2022-01-01 13:45:00",0.2,86.0,105.5,3.1,100.0,21.0011383072713,1.77147344670603,"1.32061434505714"
56,"2022-01-01 14:00:00",0.4,86.0,128.75,3.75,95.0,21.0001687138655,1.71470037926459,"1.24423903746054"
57,"2022-01-01 14:15:00",0.6,86.0,152.0,4.4,90.0,21.0001133417089,1.65605050667984,"1.21914036144021"
58,"2022-01-01 14:30:00",0.8,86.0,180.5,5.05,85.0,21.0001562037667,1.5809338381968,"1.19658945253514"
59,"2022-01-01 14:45:00",1.0,86.0,209.0,5.7,80.0,21.0000780528365,1.50025080670762,"1.06358234608691"
60,"2022-01-01 15:00:00",1.25,86.25,237.5,5.825,82.5,20.9989143782152,1.19122117023079,"0.817432396697735"
61,"2022-01-01 15:15:00",1.5,86.5,266.0,5.95,85.0,20.9980302520402,0.924784760926104,"0.845972974504662"
62,"2022-01-01 15:30:00",1.75,86.75,199.5,6.075,87.5,21.0004731995277,0.92682532565349,"0.873380100536184"
63,"2022-01-01 15:45:00",2.0,87.0,133.0,6.2,90.0,21.0012358497888,0.958546066704676,"0.933905087643318"
64,"2022-01-01 16:00:00",2.25,85.5,66.5,5.55,90.0,21.0001764564453,0.946486610896509,"0.956973496374818"
65,"2022-01-01 16:15:00",2.5,84.0,0.0,4.9,90.0,21.0002707005431,0.97425125256211,"0.943381044690965"
66,"2022-01-01 16:30:00",2.75,82.5,0.0,4.25,90.0,21.0002293775827,0.966247917324275,"1.38891359448042"
67,"2022-01-01 16:45:00",3.0,81.0,0.0,3.6,90.0,21.0001913155189,0.946446107090695,"1.38876476310388"
68,"2022-01-01 17:00:00",3.0,81.0,0.0,3.6,90.0,21.0002384278247,0.905688562317454,"1.38635103355294"
69,"2022-01-01 17:15:00",3.0,81.0,0.0,3.6,90.0,21.0031646244603,1.33256352201875,"1.37796824239156"
70,"2022-01-01 17:30:00",3.0,81.0,0.0,3.6,90.0,21.0012521390209,1.32228456972355,"1.36799115272014"
71,"2022-01-01 17:45:00",3.0,81.0,0.0,3.6,90.0,21.0013142188208,1.32061434505714,"1.33697422139156"
72,"2022-01-01 18:00:00",3.25,81.0,0.0,3.725,97.5,20.9998550975213,1.24423903746054,"1.02062085405707"
73,"2022-01-01 18:15:00",3.5,81.0,0.0,3.85,105.0,21.0007289145317,1.21914036144021,"1.06123270070945"
74,"2022-01-01 18:30:00",3.75,81.0,0.0,3.975,112.5,20.9998107193768,1.19658945253514,"1.09167897284807"
75,"2022-01-01 18:45:00",4.0,81.0,0.0,4.1,120.0,20.9980689965286,1.06358234608691,"1.10714901172364"
76,"2022-01-01 19:00:00",3.775,82.75,0.0,4.1,125.0,20.9948630261985,0.817432396697735,"1.13390029660487"
77,"2022-01-01 19:15:00",3.55,84.5,0.0,4.1,130.0,20.9940125155165,0.845972974504662,"1.16018439134573"
78,"2022-01-01 19:30:00",3.325,86.25,0.0,4.1,135.0,20.9946582758659,0.873380100536184,"1.16970417986338"
79,"2022-01-01 19:45:00",3.1,88.0,0.0,4.1,140.0,20.9955052953537,0.933905087643318,"1.17794255400688"
80,"2022-01-01 20:00:00",3.075,87.75,0.0,4.35,137.5,20.9966814050463,0.956973496374818,"1.23291630342948"
81,"2022-01-01 20:15:00",3.05,87.5,0.0,4.6,135.0,20.9970579512119,0.943381044690965,"1.27749005050206"
82,"2022-01-01 20:30:00",3.025,87.25,0.0,4.85,132.5,20.9997577865524,1.38891359448042,"1.31741537327188"
83,"2022-01-01 20:45:00",3.0,87.0,0.0,5.1,130.0,20.9999710454157,1.38876476310388,"1.35361708447498"
84,"2022-01-01 21:00:00",3.25,87.0,0.0,5.25,132.5,20.9999998547884,1.38635103355294,"1.39470870208988"
85,"2022-01-01 21:15:00",3.5,87.0,0.0,5.4,135.0,20.9997836403125,1.37796824239156,"1.43550760417965"
86,"2022-01-01 21:30:00",3.75,87.0,0.0,5.55,137.5,21.0001267315186,1.36799115272014,"1.50979239750542"
87,"2022-01-01 21:45:00",4.0,87.0,0.0,5.7,140.0,21.000163560487,1.33697422139156,"1.59251416679981"
88,"2022-01-01 22:00:00",4.0,87.0,0.0,5.95,145.0,20.997827876205,1.02062085405707,"1.50726556221914"
89,"2022-01-01 22:15:00",4.0,87.0,0.0,6.2,150.0,20.9933681626183,1.06123270070945,"1.44772260193759"
90,"2022-01-01 22:30:00",4.0,87.0,0.0,6.45,155.0,20.9965571495492,1.09167897284807,"1.41631773207565"
91,"2022-01-01 22:45:00",4.0,87.0,0.0,6.7,160.0,20.9977091048631,1.10714901172364,"1.38508749343465"
92,"2022-01-01 23:00:00",4.25,85.5,0.0,7.075,170.0,21.0000552367926,1.13390029660487,"2.33546220821692"
93,"2022-01-01 23:15:00",4.5,84.0,0.0,7.45,180.0,20.9957558326488,1.16018439134573,"2.34452331439618"
94,"2022-01-01 23:30:00",4.75,82.5,0.0,7.825,190.0,20.9986273099683,1.16970417986338,"2.34288763777538"
95,"2022-01-01 23:45:00",5.0,81.0,0.0,8.2,200.0,20.9964523478967,1.17794255400688,"1.97838481879121"
